theorem	axioms
Effect4.FrameFiber.getCont_no_pending	[propext, Quot.sound]
Effect4.FrameFiber.getCont_popped_cause	[propext, Quot.sound]
Effect4.FrameFiber.getCont_ranContAll	[propext]
Effect4.FrameFiber.getCont_skip_clears_deferred	[propext]
Effect4.FrameFiber.getCont_skip_of_no_pending_cause	[propext, Quot.sound]
Effect4.FrameFiber.interrupt_skips_every_handler	[propext, Quot.sound]
Effect4.FrameFiber.interrupted.eq_1	[]
Effect4.FrameFiber.interrupted_eq	[]
Effect4.FrameFiber.interruptibleRegion.eq_1	[]
Effect4.FrameFiber.interruptibleRegion_already	[propext]
Effect4.FrameFiber.interruptibleRegion_masked	[propext]
Effect4.FrameFiber.joinPushed._sparseCasesOn_1.else_eq	[propext]
Effect4.FrameFiber.joinPushed.eq_1	[propext]
Effect4.FrameFiber.joinPushed_of_answer	[propext]
Effect4.FrameFiber.joinPushed_of_empty	[propext]
Effect4.FrameFiber.masked_eq	[]
Effect4.FrameFiber.mk.inj	[]
Effect4.FrameFiber.mk.injEq	[propext]
Effect4.FrameFiber.mk.sizeOf_spec	[]
Effect4.FrameFiber.passEvents_poppedFrames	[propext, Quot.sound]
Effect4.FrameFiber.passEvents_ranContAll	[propext]
Effect4.FrameFiber.passOn.eq_1	[propext]
Effect4.FrameFiber.passPushed.eq_1	[propext]
Effect4.FrameFiber.passPushed_answer	[propext]
Effect4.FrameFiber.passPushed_answer_cause	[propext]
Effect4.FrameFiber.passPushed_answer_hasArm	[propext]
Effect4.FrameFiber.passPushed_carriedCause_no_pending	[propext]
Effect4.FrameFiber.passPushed_carriedCause_none	[propext]
Effect4.FrameFiber.passPushed_events	[propext]
Effect4.FrameFiber.passPushed_events_cause	[propext]
Effect4.FrameFiber.passPushed_fiber	[propext]
Effect4.FrameFiber.passPushed_fiber_cause	[propext]
Effect4.FrameFiber.passPushed_nil	[propext]
Effect4.FrameFiber.passPushed_popped	[propext]
Effect4.FrameFiber.passPushed_popped_cause	[propext]
Effect4.FrameFiber.passPushed_popped_eq_events	[propext, Quot.sound]
Effect4.FrameFiber.passPushed_ranContAll	[propext]
Effect4.FrameFiber.passPushed_setInterruptible_no_pending	[propext, Quot.sound]
Effect4.FrameFiber.passPushed_setInterruptible_substitutes	[propext]
Effect4.FrameFiber.pendingCause.eq_1	[]
Effect4.FrameFiber.pendingCause_none	[]
Effect4.FrameFiber.pendingCause_some	[]
Effect4.FrameFiber.popFrom.eq_1	[propext]
Effect4.FrameFiber.popFrom.eq_2	[propext]
Effect4.FrameFiber.popFrom.eq_def	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_answer_answer	[propext]
Effect4.FrameFiber.popFrom_answer_cause	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_answer_events	[propext]
Effect4.FrameFiber.popFrom_answer_fiber	[propext]
Effect4.FrameFiber.popFrom_answer_hasArm	[propext]
Effect4.FrameFiber.popFrom_answer_ne_deferred	[propext]
Effect4.FrameFiber.popFrom_answer_popped	[propext]
Effect4.FrameFiber.popFrom_asyncFinalizer_pops_its_push	[propext]
Effect4.FrameFiber.popFrom_carriedCause_no_pending	[propext, Quot.sound]
Effect4.FrameFiber.popFrom_continue_answer	[propext]
Effect4.FrameFiber.popFrom_continue_events	[propext]
Effect4.FrameFiber.popFrom_continue_fiber	[propext]
