int_size	63
max_int	4611686018427387903
min_int	-4611686018427387904
add_2p31m1_1	2147483648
add_max_1	-4611686018427387904
sub_min_1	4611686018427387903
mul_overflow	4294967296
mul_big	121932631112635269
neg_min	-4611686018427387904
div_trunc_neg	-3
mod_trunc_neg	-1
div_neg_divisor	-3
mod_neg_divisor	1
div_min_m1	-4611686018427387904
asr_neg1_1	-1
asr_neg7_1	-4
lsr_neg1_1	4611686018427387903
lsr_neg7_1	4611686018427387900
lsl_1_30	1073741824
lsl_1_31	2147483648
lsl_1_32	4294967296
lsl_1_62	-4611686018427387904
land_neg1_255	255
lor_neg1_0	-1
lxor_neg1_neg1	0
lnot_0	-1
abs_min	-4611686018427387904
int_of_string_2p31	2147483648
succ_max	-4611686018427387904
