int32_size	32
nativeint_size	64
int32_max	2147483647
int32_max_succ	-2147483648
int32_mul_ovf	0
int32_div_neg	-3
int32_lsr_neg	2147483647
int32_min_div_m1	-2147483648
nativeint_max	9223372036854775807
nativeint_max_succ	-9223372036854775808
int64_max	9223372036854775807
int64_max_succ	-9223372036854775808
int64_min	-9223372036854775808
int64_mul	-9223372036709301616
int64_div_neg	-3
int64_mod_neg	-1
int64_lsr	9223372036854775807
int64_asr	-1
int64_lsl	4611686018427387904
int64_of_int_max	4611686018427387903
int64_to_int_big	4611686018427387903
int64_bits_of_01	3fb999999999999a
int64_compare	-1
int64_equal	true
int64_tag	255
int32_tag	255
nativeint_tag	255
