== deep_clauses: one entry per `Effect4/Deep/Clauses.lean` theorem, evaluated on the avatar
clause	fireObserver_callback	Clauses.lean:708	entry.run-callback-with	HOLDS
clause	stepDecision_abort	Clauses.lean:716	entry.abort-signal	HOLDS
clause	runSyncExit_exited	Clauses.lean:730	entry.run-sync-exit-with	HOLDS
clause	runSyncExit_survives	Clauses.lean:740	entry.async-fiber-error	HOLDS
clause	promiseOutcome_eq	Clauses.lean:749	entry.run-promise-exit-with	HOLDS
clause	promiseOutcome_failure	Clauses.lean:755	entry.run-promise-with	HOLDS
clause	fiber?_emit	Clauses.lean:770		HOLDS
clause	race?_emit	Clauses.lean:773		HOLDS
clause	state_emit	Clauses.lean:776		HOLDS
clause	stuck_emit	Clauses.lean:779		HOLDS
clause	interruptEach_nil	Clauses.lean:789	fork.interrupt-all	HOLDS
clause	interruptEach_cons	Clauses.lean:797	fork.interrupt-all	HOLDS
clause	interruptEach_known	Clauses.lean:812	fork.interrupt-all	HOLDS
clause	exitFiber_eq	Clauses.lean:863	rule.children-interrupted-after-exit	HOLDS
clause	exitFiber_no_middleware	Clauses.lean:872	fork.child	HOLDS
clause	exitFiber_no_children	Clauses.lean:881	fork.detach	HOLDS
clause	exitFiber_finalizing	Clauses.lean:891		HOLDS
clause	exitFiber_children	Clauses.lean:899	rule.children-interrupted-after-exit	HOLDS
clause	exitStore_fiber	Clauses.lean:908	fork.child	HOLDS
clause	exitStore_fields	Clauses.lean:913	fork.child	HOLDS
clause	exitStore_fires	Clauses.lean:929	fork.child	HOLDS
clause	exitInterruptChildren_eq	Clauses.lean:938	rule.children-interrupted-after-exit	HOLDS
clause	exitInterruptChildren_interrupts	Clauses.lean:949	fork.detach	HOLDS
clause	countdownPark_finalizing	Clauses.lean:955		HOLDS
clause	exitInterruptChildren_finalizing	Clauses.lean:966	rule.children-interrupted-after-exit	HOLDS
clause	resumePrim_continueWith	Clauses.lean:974	rule.children-interrupted-after-exit	HOLDS
clause	stepDecision_installMiddleware	Clauses.lean:981	fork.child	HOLDS
clause	fireObserver_resumeAwait	Clauses.lean:988	fork.child	HOLDS
clause	fireObserver_untrackChild	Clauses.lean:997	rule.only-fork-child-tracks	HOLDS
clause	fireObserver_dropScopeFinalizer	Clauses.lean:1006	fork.in	HOLDS
clause	countdownWalk_nil	Clauses.lean:1016	fork.await-all-children	HOLDS
clause	countdownWalk_exited	Clauses.lean:1021	fork.await-all-children	HOLDS
clause	countdownWalk_live	Clauses.lean:1029	fork.await-all-children	HOLDS
clause	countdownPark_none_live	Clauses.lean:1037	fork.await-all-children	HOLDS
clause	countdownPark_parks	Clauses.lean:1050	fork.await-all-children	HOLDS
clause	fireObserver_countdown_done	Clauses.lean:1069	fork.await-all-children	HOLDS
clause	fireObserver_countdown_next	Clauses.lean:1088	fork.await-all-children	HOLDS
clause	settleRace_eq	Clauses.lean:1120	fork.race-all	HOLDS
clause	fireObserver_raceCallback_settles	Clauses.lean:1129	fork.race-all	HOLDS
clause	fireObserver_raceCallback_late	Clauses.lean:1146	fork.race-all	HOLDS
